date,AAPL,NVDA,TSLA,AMZN,GOOG,SPY
2015-01-02 00:00:00+00:00,99.9419966214,19.3895083559,219.31,308.52,524.81,184.9717989186
2015-01-05 00:00:00+00:00,97.1264716091,19.0620154179,210.09,302.19,513.87,181.6312674773
2015-01-06 00:00:00+00:00,97.1356129241,18.4840867039,211.28,295.29,501.96,179.9204831812
2015-01-07 00:00:00+00:00,98.4976688553,18.4311099051,210.95,298.42,501.1,182.1625110219
2015-01-08 00:00:00+00:00,102.282173255,19.1294404345,210.615,300.46,502.68,185.3949929287
2015-01-09 00:00:00+00:00,102.3918690347,19.2064975964,206.66,296.93,496.17,183.9093118295
2015-01-12 00:00:00+00:00,99.8688661016,18.9656939656,202.21,291.41,492.55,182.4686513696
2015-01-13 00:00:00+00:00,100.7555736541,18.9319814572,204.25,294.74,496.18,181.9554160808
2015-01-14 00:00:00+00:00,100.3716384252,19.0138546917,192.69,293.27,500.87,180.8569124801
2015-01-15 00:00:00+00:00,97.6475265627,18.8790046585,191.87,286.95,501.79,179.2001529513
2015-01-16 00:00:00+00:00,96.8887974197,19.2257618869,193.07,290.74,508.08,181.5502303264
2015-01-20 00:00:00+00:00,99.3843764079,19.2835547583,191.93,289.44,506.9,181.937407825
2015-01-21 00:00:00+00:00,100.1431055508,19.5532548248,196.57,297.25,518.04,182.8558288682
2015-01-22 00:00:00+00:00,102.7483803187,19.890379908,201.62,310.32,534.39,185.5750754862
2015-01-23 00:00:00+00:00,103.2785765872,19.9481727794,201.29,312.39,539.95,184.5576090364
2015-01-26 00:00:00+00:00,103.3882723669,19.8566673997,206.55,309.66,535.21,184.9898071744
2015-01-27 00:00:00+00:00,99.7683116368,18.9079010942,205.98,306.75,518.63,182.5496885205
2015-01-28 00:00:00+00:00,105.4085029764,18.5996724467,199.37,303.91,510.0,180.2086152732
2015-01-29 00:00:00+00:00,108.6902350524,19.0523832727,205.2,311.78,510.66,181.8743789299
2015-01-30 00:00:00+00:00,107.0996462468,18.4985349217,203.6,354.53,534.52,179.5873304499
2015-02-02 00:00:00+00:00,108.4434195481,18.8982689489,210.94,364.47,528.48,181.8113500348
2015-02-03 00:00:00+00:00,108.461702178,19.3702440654,218.36,363.55,529.24,184.440555374
2015-02-04 00:00:00+00:00,109.2935618408,19.4184047916,218.55,364.75,522.76,183.7382333998
2015-02-05 00:00:00+00:00,110.0705736136,19.7314495117,220.99,373.89,527.58,185.5930837419
2015-02-06 00:00:00+00:00,109.1436828403,19.6495762772,217.36,374.28,531.0,185.0798484531
2015-02-09 00:00:00+00:00,109.8686766135,19.6303119867,217.48,370.56,527.83,184.2514686887
2015-02-10 00:00:00+00:00,111.9794179785,20.179344265,216.29,372.995,536.94,186.2143685652
2015-02-11 00:00:00+00:00,114.6040789801,20.0444942318,212.8,375.14,535.97,186.3224180997
2015-02-12 00:00:00+00:00,116.0540665264,21.4796838716,202.88,377.17,542.93,188.1142395467
2015-02-13 00:00:00+00:00,116.6230489813,21.4893160168,203.77,381.83,549.01,188.8885945439
2015-02-17 00:00:00+00:00,117.311334209,21.5519249609,204.35,375.43,542.84,189.1857307637
2015-02-18 00:00:00+00:00,118.1235107777,21.3063052574,204.46,373.37,539.7,189.2037390195
2015-02-19 00:00:00+00:00,117.8803166639,21.3592820562,211.705,378.995,542.87,189.0686771013
2015-02-20 00:00:00+00:00,118.8393274145,21.5133963799,217.11,383.66,538.95,190.2031972135
2015-02-23 00:00:00+00:00,122.055913712,21.3448338383,207.335,380.14,531.91,190.1761848299
2015-02-24 00:00:00+00:00,121.2942113933,21.5711892513,204.11,378.59,536.09,190.7164325023
2015-02-25 00:00:00+00:00,118.1923393005,21.4068189164,203.76,385.37,543.87,190.5543582006
2015-02-26 00:00:00+00:00,119.6836239605,21.4648319758,207.19,384.8,555.48,190.3292550037
